dataset,size_in_MB,eval_time,AUC_ROC,Precision,Recall,F1
563_YAHOO_id_13_Synthetic_tr_500_1st_623,0.027305,0.39 s,1.0,1.0,0.9957,0.9978
782_YAHOO_id_232_Synthetic_tr_500_1st_623,0.027305,0.39 s,1.0,1.0,1.0,1.0
571_YAHOO_id_21_Synthetic_tr_500_1st_623,0.027307,0.38 s,1.0,1.0,0.9674,0.9834
739_YAHOO_id_189_Synthetic_tr_500_1st_893,0.027309,0.39 s,1.0,0.7846,1.0,0.8793
673_YAHOO_id_123_Synthetic_tr_500_1st_893,0.02731,0.39 s,1.0,1.0,1.0,1.0
567_YAHOO_id_17_Synthetic_tr_500_1st_893,0.027312,0.38 s,1.0,1.0,1.0,1.0
776_YAHOO_id_226_Synthetic_tr_500_1st_623,0.027314,0.40 s,1.0,1.0,1.0,1.0
785_YAHOO_id_235_Synthetic_tr_500_1st_658,0.02732,0.39 s,1.0,1.0,1.0,1.0
613_YAHOO_id_63_Synthetic_tr_500_1st_623,0.027325,0.39 s,1.0,1.0,1.0,1.0
715_YAHOO_id_165_Synthetic_tr_500_1st_658,0.027328,0.39 s,1.0,1.0,1.0,1.0
647_YAHOO_id_97_Synthetic_tr_500_1st_658,0.027329,0.38 s,1.0,1.0,1.0,1.0
578_YAHOO_id_28_Synthetic_tr_500_1st_623,0.02733,0.40 s,1.0,1.0,1.0,1.0
582_YAHOO_id_32_Synthetic_tr_500_1st_658,0.02733,0.40 s,1.0,1.0,1.0,1.0
781_YAHOO_id_231_Synthetic_tr_500_1st_623,0.027334,0.38 s,1.0,1.0,0.9978,0.9989
587_YAHOO_id_37_Synthetic_tr_500_1st_623,0.027341,0.39 s,1.0,1.0,1.0,1.0
774_YAHOO_id_224_Synthetic_tr_500_1st_623,0.027342,0.38 s,1.0,0.9935,1.0,0.9967
584_YAHOO_id_34_Synthetic_tr_500_1st_658,0.027344,0.40 s,1.0,1.0,1.0,1.0
675_YAHOO_id_125_Synthetic_tr_500_1st_623,0.027362,0.38 s,1.0,1.0,0.9978,0.9989
624_YAHOO_id_74_Synthetic_tr_500_1st_893,0.027376,0.39 s,1.0,0.6623,1.0,0.7969
703_YAHOO_id_153_Synthetic_tr_500_1st_623,0.027399,0.38 s,1.0,1.0,1.0,1.0
736_YAHOO_id_186_Synthetic_tr_500_1st_623,0.027419,0.39 s,1.0,1.0,0.9826,0.9912
573_YAHOO_id_23_Synthetic_tr_500_1st_623,0.027451,0.39 s,1.0,1.0,1.0,1.0
784_YAHOO_id_234_Synthetic_tr_500_1st_623,0.027485,0.38 s,0.9996,0.8395,0.9435,0.8884
564_YAHOO_id_14_Synthetic_tr_500_1st_658,0.02749,0.37 s,0.9899,0.4253,0.8088,0.5574
671_YAHOO_id_121_Synthetic_tr_500_1st_658,0.027493,0.41 s,1.0,0.7727,1.0,0.8718
695_YAHOO_id_145_Synthetic_tr_500_1st_658,0.027499,0.42 s,1.0,1.0,1.0,1.0
552_YAHOO_id_2_Synthetic_tr_500_1st_893,0.027499,0.42 s,0.9994,0.0591,1.0,0.1116
650_YAHOO_id_100_Synthetic_tr_500_1st_623,0.027506,0.42 s,0.9999,0.9931,0.9348,0.963
732_YAHOO_id_182_Synthetic_tr_500_1st_658,0.027508,0.44 s,0.9902,0.4268,0.8431,0.5667
778_YAHOO_id_228_Synthetic_tr_500_1st_658,0.027508,0.42 s,1.0,0.4988,1.0,0.6656
744_YAHOO_id_194_Synthetic_tr_500_1st_658,0.02751,0.42 s,1.0,0.9951,1.0,0.9976
725_YAHOO_id_175_Synthetic_tr_500_1st_623,0.027513,0.43 s,0.8863,0.2005,0.3826,0.2631
611_YAHOO_id_61_Synthetic_tr_500_1st_623,0.027519,0.44 s,0.958,0.3435,0.6109,0.4397
618_YAHOO_id_68_Synthetic_tr_500_1st_893,0.027525,0.42 s,0.9664,0.0452,0.7059,0.0849
639_YAHOO_id_89_Synthetic_tr_500_1st_893,0.027534,0.41 s,1.0,0.573,1.0,0.7286
694_YAHOO_id_144_Synthetic_tr_500_1st_658,0.027535,0.42 s,1.0,1.0,1.0,1.0
597_YAHOO_id_47_Synthetic_tr_500_1st_623,0.027544,0.43 s,1.0,1.0,0.9717,0.9857
681_YAHOO_id_131_Synthetic_tr_500_1st_658,0.027553,0.42 s,0.9998,0.613,0.9706,0.7514
600_YAHOO_id_50_Synthetic_tr_500_1st_658,0.027553,0.38 s,0.9747,0.25,0.6176,0.3559
684_YAHOO_id_134_Synthetic_tr_500_1st_623,0.027558,0.38 s,1.0,1.0,1.0,1.0
794_YAHOO_id_244_Synthetic_tr_500_1st_658,0.02756,0.38 s,0.9996,0.4531,0.9706,0.6178
627_YAHOO_id_77_Synthetic_tr_500_1st_623,0.027561,0.38 s,1.0,1.0,1.0,1.0
603_YAHOO_id_53_Synthetic_tr_500_1st_893,0.027567,0.39 s,0.9999,0.0621,1.0,0.117
676_YAHOO_id_126_Synthetic_tr_500_1st_623,0.02758,0.38 s,0.9869,0.8986,0.713,0.7952
787_YAHOO_id_237_Synthetic_tr_500_1st_623,0.027582,0.38 s,0.9168,0.4096,0.5174,0.4573
566_YAHOO_id_16_Synthetic_tr_500_1st_623,0.027587,0.38 s,0.8704,0.3734,0.5,0.4275
638_YAHOO_id_88_Synthetic_tr_500_1st_893,0.02761,0.38 s,0.9505,0.0205,0.3725,0.0389
581_YAHOO_id_31_Synthetic_tr_500_1st_893,0.027628,0.38 s,0.9999,0.0628,1.0,0.1182
666_YAHOO_id_116_Synthetic_tr_500_1st_893,0.027631,0.39 s,1.0,0.0875,1.0,0.1609
767_YAHOO_id_217_Synthetic_tr_500_1st_658,0.027636,0.41 s,0.997,0.5993,0.8284,0.6955
635_YAHOO_id_85_Synthetic_tr_500_1st_658,0.027652,0.40 s,0.9768,0.1955,0.7255,0.308
800_YAHOO_id_250_Synthetic_tr_500_1st_623,0.027657,0.40 s,1.0,1.0,1.0,1.0
701_YAHOO_id_151_Synthetic_tr_500_1st_893,0.02767,0.39 s,0.9985,0.0679,0.9608,0.1268
598_YAHOO_id_48_Synthetic_tr_500_1st_658,0.027671,0.42 s,1.0,1.0,1.0,1.0
554_YAHOO_id_4_Synthetic_tr_500_1st_658,0.027682,0.42 s,0.9924,0.6681,0.7794,0.7195
780_YAHOO_id_230_Synthetic_tr_500_1st_893,0.027687,0.41 s,0.9729,0.0349,0.6275,0.0661
599_YAHOO_id_49_WebService_tr_500_1st_653,0.027687,0.43 s,0.9943,1.0,0.2508,0.401
606_YAHOO_id_56_Synthetic_tr_500_1st_623,0.027706,0.42 s,0.9348,0.3028,0.5609,0.3933
551_YAHOO_id_1_Synthetic_tr_500_1st_893,0.02775,0.42 s,0.928,0.0396,0.5294,0.0737
605_YAHOO_id_55_Synthetic_tr_500_1st_893,0.027794,0.42 s,0.1858,0.0,0.0,0.0
731_YAHOO_id_181_Synthetic_tr_500_1st_623,0.027795,0.42 s,0.7535,0.2572,0.3304,0.2892
680_YAHOO_id_130_Synthetic_tr_500_1st_893,0.027823,0.42 s,0.9999,0.1483,1.0,0.2582
775_YAHOO_id_225_Synthetic_tr_500_1st_658,0.027852,0.42 s,0.1632,0.0,0.0,0.0
570_YAHOO_id_20_Synthetic_tr_500_1st_658,0.027861,0.42 s,0.4611,0.0,0.0,0.0
786_YAHOO_id_236_Synthetic_tr_500_1st_623,0.027872,0.43 s,0.6533,0.2902,0.2435,0.2648
730_YAHOO_id_180_Synthetic_tr_500_1st_623,0.027885,0.42 s,0.6862,0.9459,0.3804,0.5426
575_YAHOO_id_25_Synthetic_tr_500_1st_623,0.0279,0.42 s,0.9032,0.786,0.463,0.5828
634_YAHOO_id_84_Synthetic_tr_500_1st_658,0.027927,0.39 s,0.1946,0.0,0.0,0.0
797_YAHOO_id_247_Synthetic_tr_500_1st_893,0.027939,0.39 s,0.0914,0.0,0.0,0.0
576_YAHOO_id_26_Synthetic_tr_500_1st_658,0.027943,0.39 s,0.9803,0.1448,0.6127,0.2343
663_YAHOO_id_113_Synthetic_tr_500_1st_658,0.027943,0.39 s,0.803,0.0857,0.0294,0.0438
659_YAHOO_id_109_Synthetic_tr_500_1st_623,0.027969,0.42 s,0.825,0.1704,0.3326,0.2253
560_YAHOO_id_10_Synthetic_tr_500_1st_893,0.027971,0.42 s,0.1558,0.0,0.0,0.0
664_YAHOO_id_114_Synthetic_tr_500_1st_658,0.027974,0.42 s,0.5855,0.1821,0.3186,0.2317
617_YAHOO_id_67_Synthetic_tr_500_1st_893,0.027975,0.42 s,0.5685,0.0,0.0,0.0
656_YAHOO_id_106_Synthetic_tr_500_1st_658,0.027979,0.42 s,0.3729,0.0,0.0,0.0
696_YAHOO_id_146_Synthetic_tr_500_1st_893,0.027999,0.43 s,0.3061,0.0,0.0,0.0
806_YAHOO_id_256_Synthetic_tr_500_1st_893,0.028001,0.41 s,0.2071,0.0,0.0,0.0
616_YAHOO_id_66_Synthetic_tr_500_1st_623,0.028019,0.42 s,0.1707,0.0,0.0,0.0
014_NAB_id_14_WebService_tr_500_1st_1045,0.028343,0.47 s,0.4827,0.2958,0.0066,0.013
021_NAB_id_21_WebService_tr_500_1st_565,0.02848,0.49 s,0.4907,0.1172,0.0156,0.0276
008_NAB_id_8_Synthetic_tr_1007_1st_2734,0.028561,1.39 s,0.8042,0.5627,0.1206,0.1987
028_NAB_id_28_Facility_tr_1007_1st_3447,0.03215,1.40 s,0.5922,0.1317,0.0058,0.011
640_YAHOO_id_90_WebService_tr_500_1st_18,0.032302,0.52 s,0.7425,0.1092,0.2433,0.1507
802_YAHOO_id_252_WebService_tr_500_1st_63,0.032368,0.53 s,0.7247,0.0311,0.2042,0.0539
698_YAHOO_id_148_WebService_tr_500_1st_186,0.03237,0.53 s,0.7666,0.049,0.1527,0.0742
565_YAHOO_id_15_WebService_tr_500_1st_151,0.032372,0.53 s,0.4803,0.0,0.0,0.0
713_YAHOO_id_163_WebService_tr_500_1st_66,0.032384,0.53 s,0.8332,0.1121,0.4104,0.1761
648_YAHOO_id_98_WebService_tr_500_1st_731,0.032405,0.53 s,0.9895,0.0312,0.8269,0.0601
628_YAHOO_id_78_WebService_tr_500_1st_147,0.032408,0.53 s,0.8979,0.1211,0.3716,0.1827
772_YAHOO_id_222_WebService_tr_500_1st_85,0.032409,0.56 s,0.8256,0.1257,0.461,0.1975
660_YAHOO_id_110_WebService_tr_500_1st_307,0.032423,0.53 s,0.7471,0.0217,0.2231,0.0395
729_YAHOO_id_179_WebService_tr_500_1st_559,0.032426,0.48 s,0.8902,0.0641,0.3569,0.1087
665_YAHOO_id_115_WebService_tr_500_1st_28,0.032428,0.48 s,0.8363,0.1049,0.2529,0.1483
727_YAHOO_id_177_WebService_tr_500_1st_82,0.032432,0.47 s,0.9441,0.256,0.4587,0.3286
645_YAHOO_id_95_WebService_tr_500_1st_1047,0.032439,0.47 s,0.9545,0.0263,0.6471,0.0506
758_YAHOO_id_208_WebService_tr_500_1st_24,0.032442,0.48 s,0.6708,0.0443,0.1372,0.0669
679_YAHOO_id_129_WebService_tr_500_1st_428,0.032446,0.47 s,0.6023,0.0104,0.0959,0.0188
753_YAHOO_id_203_WebService_tr_500_1st_6,0.032447,0.48 s,0.799,0.1274,0.3545,0.1874
636_YAHOO_id_86_WebService_tr_500_1st_20,0.032449,0.47 s,0.845,0.1037,0.3962,0.1643
773_YAHOO_id_223_WebService_tr_500_1st_137,0.032457,0.47 s,0.9504,0.2364,0.6232,0.3428
756_YAHOO_id_206_WebService_tr_500_1st_55,0.032457,0.47 s,0.532,0.0164,0.0455,0.0241
803_YAHOO_id_253_WebService_tr_500_1st_58,0.032463,0.48 s,0.8319,0.1197,0.2754,0.1668
668_YAHOO_id_118_WebService_tr_500_1st_112,0.032468,0.51 s,0.8623,0.1027,0.33,0.1567
610_YAHOO_id_60_WebService_tr_500_1st_878,0.032469,0.51 s,0.9849,0.0299,0.7843,0.0576
553_YAHOO_id_3_WebService_tr_500_1st_237,0.032471,0.51 s,0.7613,0.054,0.354,0.0938
579_YAHOO_id_29_WebService_tr_500_1st_1342,0.032471,0.49 s,0.9985,0.0269,1.0,0.0524
678_YAHOO_id_128_WebService_tr_500_1st_665,0.032474,0.47 s,0.8592,0.0343,0.2876,0.0613
769_YAHOO_id_219_WebService_tr_500_1st_205,0.032475,0.53 s,0.8359,0.0815,0.2759,0.1259
686_YAHOO_id_136_WebService_tr_500_1st_755,0.032483,0.53 s,0.8213,0.0547,0.3731,0.0954
621_YAHOO_id_71_WebService_tr_500_1st_721,0.032485,0.51 s,0.8671,0.0149,0.3103,0.0283
687_YAHOO_id_137_WebService_tr_500_1st_89,0.032489,0.55 s,0.5809,0.052,0.1174,0.0721
799_YAHOO_id_249_WebService_tr_500_1st_852,0.032493,0.53 s,0.7999,0.0529,0.3523,0.092
719_YAHOO_id_169_WebService_tr_500_1st_852,0.032493,0.53 s,0.771,0.0392,0.2798,0.0687
669_YAHOO_id_119_WebService_tr_500_1st_21,0.032505,0.53 s,0.7506,0.0711,0.2298,0.1087
741_YAHOO_id_191_WebService_tr_500_1st_1114,0.032508,0.53 s,0.9097,0.0335,0.5222,0.0629
643_YAHOO_id_93_WebService_tr_500_1st_1038,0.03251,0.53 s,0.3296,0.0,0.0,0.0
710_YAHOO_id_160_WebService_tr_500_1st_253,0.032513,0.53 s,0.7879,0.0467,0.3128,0.0812
642_YAHOO_id_92_WebService_tr_500_1st_433,0.032521,0.53 s,0.6626,0.0379,0.2103,0.0642
768_YAHOO_id_218_WebService_tr_500_1st_431,0.032522,0.50 s,0.9318,0.4226,0.5593,0.4814
759_YAHOO_id_209_WebService_tr_500_1st_189,0.032532,0.51 s,0.8478,0.099,0.2788,0.1461
585_YAHOO_id_35_WebService_tr_500_1st_577,0.032533,0.50 s,0.9192,0.0447,0.4206,0.0807
593_YAHOO_id_43_WebService_tr_500_1st_75,0.032536,0.49 s,0.9307,0.1114,0.5849,0.1872
607_YAHOO_id_57_WebService_tr_500_1st_426,0.032546,0.50 s,0.8564,0.265,0.5157,0.3501
583_YAHOO_id_33_WebService_tr_500_1st_1616,0.032546,0.49 s,0.9675,0.004,0.8333,0.0079
591_YAHOO_id_41_WebService_tr_500_1st_139,0.032555,0.49 s,0.7017,0.0791,0.2286,0.1175
577_YAHOO_id_27_WebService_tr_500_1st_498,0.032558,0.52 s,0.9996,0.1833,0.9943,0.3095
714_YAHOO_id_164_WebService_tr_500_1st_1,0.032561,0.52 s,0.8889,0.1162,0.4241,0.1824
589_YAHOO_id_39_WebService_tr_500_1st_10,0.032561,0.50 s,0.8932,0.1737,0.4417,0.2494
716_YAHOO_id_166_WebService_tr_500_1st_540,0.032566,0.50 s,0.8892,0.0461,0.3506,0.0814
699_YAHOO_id_149_WebService_tr_500_1st_99,0.032583,0.50 s,0.9812,0.0406,0.8852,0.0776
555_YAHOO_id_5_WebService_tr_500_1st_730,0.032587,0.50 s,0.791,0.0327,0.21,0.0566
653_YAHOO_id_103_WebService_tr_500_1st_443,0.032623,0.49 s,0.9903,0.0843,0.9107,0.1543
752_YAHOO_id_202_WebService_tr_500_1st_95,0.032658,0.50 s,0.9215,0.2516,0.5969,0.354
779_YAHOO_id_229_WebService_tr_500_1st_25,0.032727,0.50 s,0.6712,0.0714,0.2516,0.1113
762_YAHOO_id_212_WebService_tr_500_1st_1055,0.032736,0.51 s,0.5392,0.0,0.0,0.0
791_YAHOO_id_241_WebService_tr_500_1st_593,0.032738,0.53 s,0.8632,0.0226,0.2745,0.0417
672_YAHOO_id_122_WebService_tr_500_1st_857,0.032858,0.50 s,0.8615,0.0016,0.0392,0.0031
586_YAHOO_id_36_WebService_tr_500_1st_398,0.032863,0.49 s,0.5082,0.0,0.0,0.0
711_YAHOO_id_161_WebService_tr_500_1st_137,0.032901,0.49 s,0.8783,0.0779,0.4677,0.1335
763_YAHOO_id_213_WebService_tr_500_1st_43,0.032977,0.49 s,0.9216,0.2029,0.5379,0.2946
740_YAHOO_id_190_WebService_tr_500_1st_0,0.033007,0.49 s,0.6667,0.1133,0.3883,0.1754
574_YAHOO_id_24_WebService_tr_500_1st_202,0.033036,0.50 s,0.5641,0.0,0.0,0.0
637_YAHOO_id_87_WebService_tr_500_1st_338,0.033049,0.50 s,0.9183,0.1138,0.4655,0.1829
761_YAHOO_id_211_WebService_tr_500_1st_7,0.033056,0.49 s,0.9344,0.2618,0.4623,0.3343
568_YAHOO_id_18_WebService_tr_500_1st_333,0.033078,0.49 s,0.8887,0.0596,0.6348,0.109
708_YAHOO_id_158_WebService_tr_500_1st_165,0.033081,0.49 s,0.7053,0.0083,0.0991,0.0154
760_YAHOO_id_210_WebService_tr_500_1st_23,0.033091,0.49 s,0.8469,0.1221,0.5189,0.1977
702_YAHOO_id_152_WebService_tr_500_1st_8,0.033094,0.49 s,0.9365,0.2834,0.6154,0.388
712_YAHOO_id_162_WebService_tr_500_1st_88,0.033097,0.49 s,0.8544,0.0778,0.3958,0.1301
790_YAHOO_id_240_WebService_tr_500_1st_119,0.033112,0.50 s,0.9597,0.0925,0.6154,0.1608
692_YAHOO_id_142_WebService_tr_500_1st_294,0.033114,0.51 s,0.9119,0.1341,0.3606,0.1955
662_YAHOO_id_112_WebService_tr_500_1st_361,0.033118,0.50 s,0.7898,0.1713,0.4951,0.2546
720_YAHOO_id_170_WebService_tr_500_1st_3,0.033119,0.50 s,0.9289,0.3211,0.5486,0.4051
649_YAHOO_id_99_WebService_tr_500_1st_1386,0.033119,0.50 s,0.9549,0.0139,0.5172,0.027
685_YAHOO_id_135_WebService_tr_500_1st_121,0.033128,0.50 s,0.9763,0.8897,0.6708,0.7649
724_YAHOO_id_174_WebService_tr_500_1st_1030,0.033135,0.49 s,0.9758,0.1219,0.8481,0.2132
641_YAHOO_id_91_WebService_tr_500_1st_149,0.033136,0.50 s,0.9485,0.1618,0.4064,0.2314
709_YAHOO_id_159_WebService_tr_500_1st_481,0.033137,0.55 s,0.615,0.0,0.0,0.0
623_YAHOO_id_73_WebService_tr_500_1st_117,0.033137,0.54 s,0.5951,0.0392,0.1103,0.0579
683_YAHOO_id_133_WebService_tr_500_1st_36,0.03314,0.49 s,0.8748,0.2732,0.5214,0.3585
608_YAHOO_id_58_WebService_tr_500_1st_72,0.033142,0.47 s,0.7866,0.1046,0.3398,0.16
592_YAHOO_id_42_WebService_tr_500_1st_28,0.033142,0.47 s,0.9544,0.0455,0.675,0.0852
619_YAHOO_id_69_WebService_tr_500_1st_8,0.033144,0.47 s,0.9166,0.1794,0.6601,0.2821
569_YAHOO_id_19_WebService_tr_500_1st_30,0.033145,0.47 s,0.9878,0.2304,0.7974,0.3575
707_YAHOO_id_157_WebService_tr_500_1st_137,0.033146,0.47 s,0.959,0.2564,0.5133,0.342
738_YAHOO_id_188_WebService_tr_500_1st_26,0.03315,0.48 s,0.8034,0.0458,0.2677,0.0782
809_YAHOO_id_259_WebService_tr_500_1st_123,0.033151,0.47 s,0.7499,0.0632,0.2333,0.0994
670_YAHOO_id_120_WebService_tr_500_1st_221,0.033163,0.48 s,0.9577,0.5452,0.5993,0.5709
793_YAHOO_id_243_WebService_tr_500_1st_28,0.033181,0.47 s,0.9566,0.0926,0.5929,0.1602
633_YAHOO_id_83_WebService_tr_500_1st_223,0.033185,0.49 s,0.9516,0.08,0.6842,0.1433
631_YAHOO_id_81_WebService_tr_500_1st_96,0.033188,0.47 s,0.9752,0.2032,0.7336,0.3182
595_YAHOO_id_45_WebService_tr_500_1st_248,0.033195,0.48 s,0.9702,0.1687,0.8093,0.2792
726_YAHOO_id_176_WebService_tr_500_1st_221,0.033201,0.51 s,0.8782,0.1828,0.4026,0.2514
691_YAHOO_id_141_WebService_tr_500_1st_57,0.03321,0.53 s,0.9419,0.1893,0.4907,0.2732
801_YAHOO_id_251_WebService_tr_500_1st_190,0.033226,0.52 s,0.7969,0.1025,0.3226,0.1556
580_YAHOO_id_30_WebService_tr_500_1st_236,0.033239,0.51 s,0.9806,0.0128,0.6,0.025
749_YAHOO_id_199_WebService_tr_500_1st_136,0.033267,0.52 s,0.9574,0.1419,0.5581,0.2263
748_YAHOO_id_198_WebService_tr_500_1st_170,0.033381,0.51 s,0.4976,0.0056,0.1129,0.0106
788_YAHOO_id_238_WebService_tr_500_1st_973,0.033393,0.52 s,0.8705,0.0041,0.1176,0.008
717_YAHOO_id_167_WebService_tr_500_1st_84,0.033399,0.51 s,0.7128,0.0028,0.017,0.0049
718_YAHOO_id_168_WebService_tr_500_1st_263,0.033411,0.52 s,0.69,0.0601,0.1711,0.0889
783_YAHOO_id_233_WebService_tr_500_1st_24,0.033417,0.51 s,0.6713,0.0245,0.0803,0.0375
746_YAHOO_id_196_WebService_tr_500_1st_413,0.033448,0.52 s,0.85,0.05,0.3622,0.0879
765_YAHOO_id_215_WebService_tr_500_1st_92,0.033462,0.52 s,0.659,0.0154,0.0551,0.0241
