dataset,size_in_MB,eval_time,AUC_ROC,Precision,Recall,F1
781_YAHOO_id_231_Synthetic_tr_500_1st_623,0.027334,0.64 s,1.0,0.9912,0.9783,0.9847
587_YAHOO_id_37_Synthetic_tr_500_1st_623,0.027341,0.61 s,0.9953,0.9543,0.9543,0.9543
774_YAHOO_id_224_Synthetic_tr_500_1st_623,0.027342,0.60 s,0.9999,0.9692,0.9587,0.9639
584_YAHOO_id_34_Synthetic_tr_500_1st_658,0.027344,0.61 s,1.0,0.9315,1.0,0.9645
675_YAHOO_id_125_Synthetic_tr_500_1st_623,0.027362,0.60 s,0.9978,0.961,0.9652,0.9631
624_YAHOO_id_74_Synthetic_tr_500_1st_893,0.027376,0.59 s,1.0,1.0,1.0,1.0
703_YAHOO_id_153_Synthetic_tr_500_1st_623,0.027399,0.59 s,0.9998,0.9955,0.9717,0.9835
736_YAHOO_id_186_Synthetic_tr_500_1st_623,0.027419,0.62 s,0.9968,0.9665,0.9413,0.9537
573_YAHOO_id_23_Synthetic_tr_500_1st_623,0.027451,0.60 s,0.9995,0.9589,0.963,0.961
784_YAHOO_id_234_Synthetic_tr_500_1st_623,0.027485,0.60 s,0.9994,0.9934,0.9891,0.9913
564_YAHOO_id_14_Synthetic_tr_500_1st_658,0.02749,0.61 s,1.0,1.0,1.0,1.0
671_YAHOO_id_121_Synthetic_tr_500_1st_658,0.027493,0.61 s,1.0,0.9903,1.0,0.9951
695_YAHOO_id_145_Synthetic_tr_500_1st_658,0.027499,0.59 s,1.0,0.9623,1.0,0.9808
552_YAHOO_id_2_Synthetic_tr_500_1st_893,0.027499,0.60 s,1.0,0.8644,1.0,0.9273
650_YAHOO_id_100_Synthetic_tr_500_1st_623,0.027506,0.60 s,1.0,0.9888,0.963,0.9758
732_YAHOO_id_182_Synthetic_tr_500_1st_658,0.027508,0.60 s,1.0,0.9488,1.0,0.9737
778_YAHOO_id_228_Synthetic_tr_500_1st_658,0.027508,0.59 s,1.0,0.9903,1.0,0.9951
744_YAHOO_id_194_Synthetic_tr_500_1st_658,0.02751,0.60 s,1.0,1.0,1.0,1.0
725_YAHOO_id_175_Synthetic_tr_500_1st_623,0.027513,0.60 s,1.0,0.9661,0.9913,0.9785
611_YAHOO_id_61_Synthetic_tr_500_1st_623,0.027519,0.59 s,1.0,0.9365,0.9935,0.9641
618_YAHOO_id_68_Synthetic_tr_500_1st_893,0.027525,0.61 s,1.0,0.8793,1.0,0.9358
639_YAHOO_id_89_Synthetic_tr_500_1st_893,0.027534,0.60 s,1.0,1.0,1.0,1.0
694_YAHOO_id_144_Synthetic_tr_500_1st_658,0.027535,0.60 s,1.0,0.9951,1.0,0.9976
597_YAHOO_id_47_Synthetic_tr_500_1st_623,0.027544,0.59 s,0.996,0.9908,0.9413,0.9654
681_YAHOO_id_131_Synthetic_tr_500_1st_658,0.027553,0.59 s,1.0,1.0,1.0,1.0
600_YAHOO_id_50_Synthetic_tr_500_1st_658,0.027553,0.59 s,1.0,0.9358,1.0,0.9668
684_YAHOO_id_134_Synthetic_tr_500_1st_623,0.027558,0.60 s,1.0,1.0,0.9957,0.9978
794_YAHOO_id_244_Synthetic_tr_500_1st_658,0.02756,0.59 s,1.0,0.9488,1.0,0.9737
627_YAHOO_id_77_Synthetic_tr_500_1st_623,0.027561,0.60 s,1.0,0.9868,0.9739,0.9803
603_YAHOO_id_53_Synthetic_tr_500_1st_893,0.027567,0.60 s,1.0,1.0,1.0,1.0
676_YAHOO_id_126_Synthetic_tr_500_1st_623,0.02758,0.59 s,1.0,0.9956,0.9913,0.9935
787_YAHOO_id_237_Synthetic_tr_500_1st_623,0.027582,0.65 s,1.0,0.9826,0.9804,0.9815
566_YAHOO_id_16_Synthetic_tr_500_1st_623,0.027587,0.60 s,0.9997,0.9426,0.963,0.9527
638_YAHOO_id_88_Synthetic_tr_500_1st_893,0.02761,0.59 s,1.0,0.1034,1.0,0.1875
581_YAHOO_id_31_Synthetic_tr_500_1st_893,0.027628,0.60 s,1.0,0.2787,1.0,0.4359
666_YAHOO_id_116_Synthetic_tr_500_1st_893,0.027631,0.60 s,1.0,1.0,1.0,1.0
767_YAHOO_id_217_Synthetic_tr_500_1st_658,0.027636,0.60 s,1.0,1.0,1.0,1.0
635_YAHOO_id_85_Synthetic_tr_500_1st_658,0.027652,0.60 s,1.0,0.9577,1.0,0.9784
800_YAHOO_id_250_Synthetic_tr_500_1st_623,0.027657,0.61 s,1.0,1.0,0.9957,0.9978
701_YAHOO_id_151_Synthetic_tr_500_1st_893,0.02767,0.59 s,1.0,0.9623,1.0,0.9808
598_YAHOO_id_48_Synthetic_tr_500_1st_658,0.027671,0.60 s,1.0,1.0,1.0,1.0
554_YAHOO_id_4_Synthetic_tr_500_1st_658,0.027682,0.61 s,1.0,1.0,1.0,1.0
780_YAHOO_id_230_Synthetic_tr_500_1st_893,0.027687,0.60 s,1.0,0.17,1.0,0.2906
599_YAHOO_id_49_WebService_tr_500_1st_653,0.027687,0.63 s,0.9603,1.0,0.29,0.4496
606_YAHOO_id_56_Synthetic_tr_500_1st_623,0.027706,0.59 s,0.9998,0.902,0.9804,0.9396
551_YAHOO_id_1_Synthetic_tr_500_1st_893,0.02775,0.59 s,1.0,0.3187,1.0,0.4834
605_YAHOO_id_55_Synthetic_tr_500_1st_893,0.027794,0.59 s,1.0,0.0758,1.0,0.1409
731_YAHOO_id_181_Synthetic_tr_500_1st_623,0.027795,0.60 s,0.9979,0.9366,0.963,0.9496
680_YAHOO_id_130_Synthetic_tr_500_1st_893,0.027823,0.59 s,1.0,1.0,1.0,1.0
775_YAHOO_id_225_Synthetic_tr_500_1st_658,0.027852,0.60 s,0.9915,0.2696,0.8775,0.4124
570_YAHOO_id_20_Synthetic_tr_500_1st_658,0.027861,0.59 s,1.0,0.9444,1.0,0.9714
786_YAHOO_id_236_Synthetic_tr_500_1st_623,0.027872,0.60 s,0.9998,0.9933,0.9652,0.9791
730_YAHOO_id_180_Synthetic_tr_500_1st_623,0.027885,0.59 s,0.9998,0.9802,0.9696,0.9749
575_YAHOO_id_25_Synthetic_tr_500_1st_623,0.0279,0.59 s,0.9995,0.9825,0.9761,0.9793
634_YAHOO_id_84_Synthetic_tr_500_1st_658,0.027927,0.59 s,0.9993,0.4484,0.9804,0.6154
797_YAHOO_id_247_Synthetic_tr_500_1st_893,0.027939,0.60 s,0.9931,0.0431,0.8824,0.0821
576_YAHOO_id_26_Synthetic_tr_500_1st_658,0.027943,0.60 s,1.0,0.9577,1.0,0.9784
663_YAHOO_id_113_Synthetic_tr_500_1st_658,0.027943,0.59 s,1.0,0.9623,1.0,0.9808
659_YAHOO_id_109_Synthetic_tr_500_1st_623,0.027969,0.60 s,1.0,0.9933,0.9696,0.9813
560_YAHOO_id_10_Synthetic_tr_500_1st_893,0.027971,0.59 s,1.0,0.1024,1.0,0.1858
664_YAHOO_id_114_Synthetic_tr_500_1st_658,0.027974,0.60 s,0.9978,0.6964,0.9559,0.8058
617_YAHOO_id_67_Synthetic_tr_500_1st_893,0.027975,0.60 s,1.0,0.8947,1.0,0.9444
656_YAHOO_id_106_Synthetic_tr_500_1st_658,0.027979,0.62 s,1.0,0.8458,0.9951,0.9144
696_YAHOO_id_146_Synthetic_tr_500_1st_893,0.027999,0.59 s,1.0,0.2713,1.0,0.4268
806_YAHOO_id_256_Synthetic_tr_500_1st_893,0.028001,0.60 s,0.9998,0.0701,1.0,0.1309
616_YAHOO_id_66_Synthetic_tr_500_1st_623,0.028019,0.60 s,0.9828,0.5799,0.8043,0.674
014_NAB_id_14_WebService_tr_500_1st_1045,0.028343,0.65 s,0.5088,0.4773,0.0066,0.0131
021_NAB_id_21_WebService_tr_500_1st_565,0.02848,0.70 s,0.5034,0.2939,0.0343,0.0614
008_NAB_id_8_Synthetic_tr_1007_1st_2734,0.028561,1.79 s,0.8247,0.4615,0.0955,0.1583
028_NAB_id_28_Facility_tr_1007_1st_3447,0.03215,1.78 s,0.5353,0.1317,0.0058,0.011
640_YAHOO_id_90_WebService_tr_500_1st_18,0.032302,0.70 s,0.9999,0.8756,0.9876,0.9282
802_YAHOO_id_252_WebService_tr_500_1st_63,0.032368,0.73 s,0.9967,0.252,0.9843,0.4013
698_YAHOO_id_148_WebService_tr_500_1st_186,0.03237,0.71 s,0.9517,0.4363,0.6883,0.5341
565_YAHOO_id_15_WebService_tr_500_1st_151,0.032372,0.71 s,0.9998,0.1239,0.9899,0.2202
713_YAHOO_id_163_WebService_tr_500_1st_66,0.032384,0.71 s,1.0,0.8056,0.9942,0.89
648_YAHOO_id_98_WebService_tr_500_1st_731,0.032405,0.70 s,1.0,0.1176,1.0,0.2105
628_YAHOO_id_78_WebService_tr_500_1st_147,0.032408,0.71 s,1.0,0.8433,1.0,0.915
772_YAHOO_id_222_WebService_tr_500_1st_85,0.032409,0.73 s,1.0,0.9164,0.9968,0.9549
660_YAHOO_id_110_WebService_tr_500_1st_307,0.032423,0.70 s,1.0,0.3611,1.0,0.5306
729_YAHOO_id_179_WebService_tr_500_1st_559,0.032426,0.71 s,0.9995,0.6354,0.9843,0.7723
665_YAHOO_id_115_WebService_tr_500_1st_28,0.032428,0.71 s,1.0,1.0,1.0,1.0
727_YAHOO_id_177_WebService_tr_500_1st_82,0.032432,0.71 s,1.0,0.9951,1.0,0.9975
645_YAHOO_id_95_WebService_tr_500_1st_1047,0.032439,0.71 s,1.0,0.1159,1.0,0.2077
758_YAHOO_id_208_WebService_tr_500_1st_24,0.032442,0.72 s,0.9999,0.781,0.9953,0.8753
679_YAHOO_id_129_WebService_tr_500_1st_428,0.032446,0.71 s,0.9291,0.0689,0.5068,0.1213
753_YAHOO_id_203_WebService_tr_500_1st_6,0.032447,0.70 s,1.0,0.9098,0.9934,0.9498
636_YAHOO_id_86_WebService_tr_500_1st_20,0.032449,0.70 s,0.9998,0.679,1.0,0.8088
